German,English
wie,as
ich,I
seine,his
dass,that
er,he
war,was
für,for
auf,on
sind,are
mit,with
sie,they
sein,be
bei,at
ein,one
haben,have
dies,this
aus,from
durch,by
heiß,hot
Wort,word
aber,but
was,what
einige,some
ist,is
es,it
Sie,you
oder,or
hatte,had
die,the
von,of
zu,to
und,and
ein,a
bei,in
wir,we
können,can
aus,out
andere,other
waren,were
die,which
tun,do
ihre,their
Zeit,time
wenn,if
werden,will
wie,how
sagte,said
ein,an
jeder,each
sagen,tell
tut,does
Satz,set
drei,three
wollen,want
Luft,air
gut,well
auch,also
spielen,play
klein,small
Ende,end
setzen,put
Zuhause,home
lesen,read
seits,hand
Hafen,port
groß,large
buchstabieren,spell
hinzufügen,add
auch,even
Lande,land
hier,here
muss,must
groß,big
hoch,high
so,such
folgen,follow
Akt,act
warum,why
fragen,ask
Männer,men
Veränderung,change
ging,went
Licht,light
Art,kind
aus,off
müssen,need
Haus,house
Bild,picture
versuchen,try
uns,us
wieder,again
Tier,animal
Punkt,point
Mutter,mother
Welt,world
in der Nähe von,near
bauen,build
selbst,self
Erde,earth
Vater,father
jeder,any
neu,new
Arbeit,work
Teil,part
nehmen,take
erhalten,get
Ort,place
gemacht,made
leben,live
wo,where
nach,after
zurück,back
wenig,little
nur,only
Runde,round
Mann,man
Jahr,year
kam,came
zeigen,show
jeder,every
gut,good
mir,me
geben,give
unsere,our
unter,under
Name,name
sehr,very
durch,through
nur,just
Formular,form
Satz,sentence
groß,great
denken,think
sagen,say
Hilfe,help
niedrig,low
Linie,line
abweichen,differ
wiederum,turn
Ursache,cause
viel,much
bedeuten,mean
vor,before
Umzug,move
Recht,right
Junge,boy
alt,old
zu,too
gleich,same
sie,she
alle,all
da,there
wenn,when
nach oben,up
Verwendung,use
Ihre,your
Weg,way
über,about
viele,many
dann,then
sie,them
schreiben,write
würde,would
wie,like
so,so
diese,these
sie,her
lange,long
machen,make
Sache,thing
sehen,see
ihm,him
zwei,two
hat,has
suchen,look
mehr,more
Tag,day
könnte,could
gehen,go
kommen,come
tat,did
Anzahl,number
klingen,sound
nicht,no
am meisten,most
Menschen,people
meine,my
über,over
wissen,know
Wasser,water
als,than
Anruf,call
erste,first
die,who
können,may
nach unten,down
Seite,side
gewesen,been
jetzt,now
finden,find
Kopf,head
stehen,stand
besitzen,own
Seite,page
sollte,should
Land,country
gefunden,found
Antwort,answer
Schule,school
wachsen,grow
Studie,study
noch,still
lernen,learn
Anlage,plant
Abdeckung,cover
Lebensmittel,food
Sonne,sun
vier,four
zwischen,between
Zustand,state
halten,keep
Auge,eye
nie,never
letzte,last
lassen,let
Gedanken,thought
Stadt,city
Baum,tree
überqueren,cross
Bauernhof,farm
schwer,hard
Beginn,start
Macht,might
Geschichte,story
Säge,saw
weit,far
Meer,sea
ziehen,draw
links,left
spät,late
laufen,run
unterlassen Sie,don’t
während,while
Presse,press
Schließen,close
Nacht,night
realen,real
Leben,life
wenige,few
Norden,north
Buch,book
tragen,carry
nahm,took
Wissenschaft,science
essen,eat
Zimmer,room
Freund,friend
begann,began
Idee,idea
Fisch,fish
